time,value2
0.0,1.0
0.2,0.9800665778412416
0.4,0.9210609940028851
0.6000000000000001,0.8253356149096782
0.8,0.6967067093471654
1.0,0.5403023058681398
1.2000000000000002,0.3623577544766734
1.4000000000000001,0.16996714290024081
1.6,-0.029199522301288815
1.8,-0.2272020946930871
2.0,-0.4161468365471424
2.2,-0.5885011172553458
2.4000000000000004,-0.7373937155412458
2.6,-0.8568887533689473
2.8000000000000003,-0.9422223406686583
3.0,-0.9899924966004454
3.2,-0.9982947757947531
3.4000000000000004,-0.9667981925794609
3.6,-0.896758416334147
3.8000000000000003,-0.7909677119144165
4.0,-0.6536436208636119
4.2,-0.4902608213406994
4.4,-0.30733286997841935
4.6000000000000005,-0.11215252693505398
4.800000000000001,0.08749898343944727
5.0,0.28366218546322625
5.2,0.4685166713003771
5.4,0.6346928759426347
5.6000000000000005,0.7755658785102502
5.800000000000001,0.8855195169413194
6.0,0.960170286650366
6.2,0.9965420970232175
6.4,0.9931849187581926
6.6000000000000005,0.9502325919585293
6.800000000000001,0.8693974903498248
7.0,0.7539022543433046
7.2,0.6083513145322546
7.4,0.43854732757439036
7.6000000000000005,0.25125984258225487
7.800000000000001,0.05395542056264886
8.0,-0.14550003380861354
8.200000000000001,-0.33915486098383624
8.4,-0.5192886541166856
8.6,-0.6787200473200125
8.8,-0.811093014061656
9.0,-0.9111302618846769
9.200000000000001,-0.974843621404164
9.4,-0.9996930420352065
9.600000000000001,-0.9846878557941267
9.8,-0.9304262721047533
